times, Temp_BC
0.000000000000000000e+00,2.000000000000000000e+01
1.799999999580902283e+02,1.950000000000000000e+01
4.800000003073362222e+02,1.619999999999999929e+01
7.800000000279396772e+02,1.600000000000000000e+01
1.080000000377185643e+03,1.550000000000000000e+01
1.380000000097788870e+03,1.550000000000000000e+01
1.680000000447034836e+03,1.350000000000000000e+01
1.980000000167638063e+03,1.199999999999999956e+00
2.279999999888241291e+03,-2.000000000000000000e+00
2.580000000237487257e+03,-2.000000000000000000e+00
2.879999999958090484e+03,-2.000000000000000000e+00
3.180000000307336450e+03,-2.000000000000000000e+00
3.480000000027939222e+03,-2.000000000000000000e+00
3.780000000377185643e+03,-4.299999999999999822e+00
4.080000000097788870e+03,-4.299999999999999822e+00
4.380000000447034836e+03,-4.299999999999999822e+00
4.680000000167637154e+03,-4.299999999999999822e+00
4.979999999888241291e+03,-4.299999999999999822e+00
5.280000000237486347e+03,-4.299999999999999822e+00
5.579999999958090484e+03,-4.299999999999999822e+00
5.880000000307336450e+03,-6.299999999999999822e+00
6.180000000027939677e+03,-6.299999999999999822e+00
6.480000000377185643e+03,-6.299999999999999822e+00
6.780000000097788870e+03,-6.299999999999999822e+00
7.080000000447034836e+03,-8.699999999999999289e+00
7.380000000167638063e+03,-8.699999999999999289e+00
7.679999999888239472e+03,-8.699999999999999289e+00
7.980000000237489076e+03,-8.699999999999999289e+00
8.279999999958090484e+03,-8.699999999999999289e+00
8.580000000307338269e+03,-8.699999999999999289e+00
8.880000000027941496e+03,-1.069999999999999929e+01
9.180000000377185643e+03,-1.069999999999999929e+01
9.480000000097788870e+03,-1.069999999999999929e+01
9.780000000447034836e+03,-1.069999999999999929e+01
1.008000000016763806e+04,-1.069999999999999929e+01
1.037999999988823947e+04,-1.069999999999999929e+01
1.068000000023748908e+04,-1.069999999999999929e+01
1.097999999995809048e+04,-1.069999999999999929e+01
1.128000000030733827e+04,-1.069999999999999929e+01
1.158000000002794150e+04,-1.069999999999999929e+01
1.188000000037718564e+04,-1.150000000000000000e+01
1.218000000009778887e+04,-1.150000000000000000e+01
1.248000000044703484e+04,-1.150000000000000000e+01
1.278000000016763806e+04,-1.150000000000000000e+01
1.307999999988823947e+04,-1.150000000000000000e+01
1.338000000023748726e+04,-1.150000000000000000e+01
1.367999999995809594e+04,-1.150000000000000000e+01
1.398000000030733827e+04,-1.150000000000000000e+01
1.428000000002794150e+04,-1.150000000000000000e+01
1.458000000037718564e+04,-1.150000000000000000e+01
1.488000000009778887e+04,-1.250000000000000000e+01
1.518000000044703484e+04,-1.250000000000000000e+01
1.548000000016763806e+04,-1.250000000000000000e+01
1.577999999988824129e+04,-1.250000000000000000e+01
1.608000000023748726e+04,-1.250000000000000000e+01
1.637999999995809412e+04,-1.250000000000000000e+01
1.668000000030733645e+04,-1.250000000000000000e+01
1.698000000002793968e+04,-1.250000000000000000e+01
1.728000000037718564e+04,-1.250000000000000000e+01
1.758000000009778887e+04,-1.250000000000000000e+01
1.788000000044703484e+04,-1.300000000000000000e+01
1.818000000016763806e+04,-1.300000000000000000e+01
1.847999999988824129e+04,-1.300000000000000000e+01
1.878000000023748726e+04,-1.300000000000000000e+01
1.907999999995809412e+04,-1.300000000000000000e+01
1.938000000030733645e+04,-1.300000000000000000e+01
1.968000000002793968e+04,-1.300000000000000000e+01
1.998000000037718564e+04,-1.300000000000000000e+01
2.028000000009778887e+04,-1.300000000000000000e+01
2.058000000044703484e+04,-1.300000000000000000e+01
2.088000000016763806e+04,-1.300000000000000000e+01
2.117999999988824129e+04,-1.300000000000000000e+01
2.148000000023748726e+04,-1.300000000000000000e+01
2.177999999995809412e+04,-1.300000000000000000e+01
2.208000000030733645e+04,-1.300000000000000000e+01
2.238000000002793968e+04,-1.300000000000000000e+01
2.268000000037718564e+04,-1.300000000000000000e+01
2.298000000009778887e+04,-1.300000000000000000e+01
2.328000000044703484e+04,-1.300000000000000000e+01
2.358000000016763806e+04,-1.300000000000000000e+01
2.387999999988824129e+04,-1.309999999999999964e+01
2.418000000023748726e+04,-1.309999999999999964e+01
2.447999999995809412e+04,-1.309999999999999964e+01
2.478000000030733645e+04,-1.309999999999999964e+01
2.508000000002793968e+04,-1.309999999999999964e+01
2.538000000037718564e+04,-1.309999999999999964e+01
2.568000000009778887e+04,-1.309999999999999964e+01
2.598000000044703484e+04,-1.309999999999999964e+01
2.628000000016763806e+04,-1.309999999999999964e+01
2.657999999988824129e+04,-1.309999999999999964e+01
2.688000000023748726e+04,-1.350000000000000000e+01
2.717999999995809048e+04,-1.350000000000000000e+01
2.748000000030733645e+04,-1.350000000000000000e+01
2.778000000002793968e+04,-1.350000000000000000e+01
2.808000000037718564e+04,-1.350000000000000000e+01
2.838000000009778887e+04,-1.350000000000000000e+01
2.868000000044703484e+04,-1.350000000000000000e+01
2.898000000016763806e+04,-1.350000000000000000e+01
2.927999999988824129e+04,-1.350000000000000000e+01
2.958000000023748726e+04,-1.350000000000000000e+01
2.987999999995809048e+04,-1.400000000000000000e+01
3.018000000030733645e+04,-1.400000000000000000e+01
3.048000000002793968e+04,-1.400000000000000000e+01
3.078000000037718564e+04,-1.400000000000000000e+01
3.108000000009778887e+04,-1.400000000000000000e+01
3.138000000044703484e+04,-1.400000000000000000e+01
3.168000000016763806e+04,-1.200000000000000000e+01
3.197999999988824129e+04,-1.200000000000000000e+01
3.228000000023748726e+04,-1.200000000000000000e+01
3.257999999995809048e+04,-1.200000000000000000e+01
3.288000000030733645e+04,-1.200000000000000000e+01
3.318000000002793968e+04,-1.200000000000000000e+01
3.348000000037718564e+04,-1.200000000000000000e+01
3.378000000009778159e+04,-1.200000000000000000e+01
3.408000000044704211e+04,-1.200000000000000000e+01
3.438000000016763806e+04,-1.200000000000000000e+01
3.467999999988824129e+04,-1.159999999999999964e+01
3.498000000023748726e+04,-1.159999999999999964e+01
3.527999999995809048e+04,-1.159999999999999964e+01
3.558000000030733645e+04,-1.159999999999999964e+01
3.588000000002793968e+04,-1.159999999999999964e+01
3.618000000037718564e+04,-1.159999999999999964e+01
3.648000000009778159e+04,-1.159999999999999964e+01
3.678000000044704211e+04,-1.159999999999999964e+01
3.708000000016763806e+04,-1.159999999999999964e+01
3.737999999988824129e+04,-1.159999999999999964e+01
3.768000000023748726e+04,-1.350000000000000000e+01
3.797999999995809048e+04,-1.350000000000000000e+01
3.828000000030733645e+04,-1.350000000000000000e+01
3.858000000002793968e+04,-1.350000000000000000e+01
3.888000000037718564e+04,-1.350000000000000000e+01
3.918000000009778159e+04,-1.350000000000000000e+01
3.948000000044704211e+04,-1.350000000000000000e+01
3.978000000016763806e+04,-1.350000000000000000e+01
4.007999999988824129e+04,-1.350000000000000000e+01
4.038000000023748726e+04,-1.350000000000000000e+01
4.067999999995809048e+04,-1.419999999999999929e+01
4.098000000030733645e+04,-1.419999999999999929e+01
4.128000000002793968e+04,-1.419999999999999929e+01
4.158000000037718564e+04,-1.419999999999999929e+01
4.188000000009778159e+04,-1.419999999999999929e+01
4.218000000044704211e+04,-1.419999999999999929e+01
4.248000000016763806e+04,-1.419999999999999929e+01
4.277999999988824129e+04,-1.419999999999999929e+01
4.308000000023748726e+04,-1.419999999999999929e+01
4.337999999995809048e+04,-1.419999999999999929e+01
4.368000000030733645e+04,-1.450000000000000000e+01
4.398000000002793968e+04,-1.450000000000000000e+01
4.428000000037718564e+04,-1.450000000000000000e+01
4.458000000009778159e+04,-1.450000000000000000e+01
4.488000000044704211e+04,-1.450000000000000000e+01
4.518000000016763806e+04,-1.450000000000000000e+01
4.547999999988824129e+04,-1.450000000000000000e+01
4.578000000023748726e+04,-1.450000000000000000e+01
4.607999999995809048e+04,-1.450000000000000000e+01
4.638000000030733645e+04,-1.450000000000000000e+01
4.668000000002793968e+04,-1.500000000000000000e+01
4.698000000037718564e+04,-1.500000000000000000e+01
4.728000000009778159e+04,-1.500000000000000000e+01
4.758000000044704211e+04,-1.500000000000000000e+01
4.788000000016763806e+04,-1.500000000000000000e+01
4.817999999988824129e+04,-1.500000000000000000e+01
4.848000000023748726e+04,-1.500000000000000000e+01
4.877999999995809048e+04,-1.500000000000000000e+01
4.908000000030733645e+04,-1.500000000000000000e+01
4.938000000002793968e+04,-1.500000000000000000e+01
4.968000000037718564e+04,-1.500000000000000000e+01
4.998000000009778159e+04,-1.500000000000000000e+01
5.028000000044704211e+04,-1.500000000000000000e+01
5.058000000016763806e+04,-1.500000000000000000e+01
5.087999999988824129e+04,-1.500000000000000000e+01
5.118000000023748726e+04,-1.500000000000000000e+01
5.147999999995809048e+04,-1.500000000000000000e+01
5.178000000030733645e+04,-1.500000000000000000e+01
5.208000000002793968e+04,-1.500000000000000000e+01
5.238000000037718564e+04,-1.500000000000000000e+01
5.268000000009778159e+04,-1.509999999999999964e+01
5.298000000044704211e+04,-1.509999999999999964e+01
5.328000000016763806e+04,-1.509999999999999964e+01
5.357999999988824129e+04,-1.509999999999999964e+01
5.388000000023748726e+04,-1.509999999999999964e+01
5.417999999995809048e+04,-1.509999999999999964e+01
5.448000000030733645e+04,-1.509999999999999964e+01
5.478000000002793968e+04,-1.509999999999999964e+01
5.508000000037718564e+04,-1.509999999999999964e+01
5.538000000009778159e+04,-1.509999999999999964e+01
5.568000000044704211e+04,-1.550000000000000000e+01
5.598000000016763806e+04,-1.550000000000000000e+01
5.627999999988824129e+04,-1.550000000000000000e+01
5.658000000023748726e+04,-1.550000000000000000e+01
5.687999999995809048e+04,-1.550000000000000000e+01
5.718000000030733645e+04,-1.550000000000000000e+01
5.748000000002793968e+04,-1.550000000000000000e+01
5.778000000037718564e+04,-1.550000000000000000e+01
5.808000000009778887e+04,-1.550000000000000000e+01
5.838000000044703484e+04,-1.550000000000000000e+01
5.868000000016763806e+04,-1.550000000000000000e+01
5.897999999988824129e+04,-1.550000000000000000e+01
5.928000000023748726e+04,-1.550000000000000000e+01
5.957999999995809048e+04,-1.550000000000000000e+01
5.988000000030733645e+04,-1.550000000000000000e+01
6.018000000002793968e+04,-1.550000000000000000e+01
6.048000000037718564e+04,-1.550000000000000000e+01
6.078000000009778887e+04,-1.550000000000000000e+01
6.108000000044703484e+04,-1.550000000000000000e+01
6.138000000016763806e+04,-1.550000000000000000e+01
6.167999999988824129e+04,-1.400000000000000000e+01
6.198000000023748726e+04,-1.400000000000000000e+01
6.227999999995809048e+04,-1.400000000000000000e+01
6.258000000030733645e+04,-1.400000000000000000e+01
6.288000000002793968e+04,-1.400000000000000000e+01
6.318000000037718564e+04,-1.400000000000000000e+01
6.348000000009778887e+04,-1.400000000000000000e+01
6.378000000044703484e+04,-1.400000000000000000e+01
6.408000000016763806e+04,-1.400000000000000000e+01
6.437999999988824129e+04,-1.400000000000000000e+01
6.468000000023748726e+04,-1.450000000000000000e+01
6.497999999995809048e+04,-1.450000000000000000e+01
6.528000000030733645e+04,-1.450000000000000000e+01
6.558000000002793968e+04,-1.450000000000000000e+01
6.588000000037717109e+04,-1.450000000000000000e+01
6.618000000009778887e+04,-1.450000000000000000e+01
6.648000000044703484e+04,-1.450000000000000000e+01
6.678000000016765262e+04,-1.450000000000000000e+01
6.707999999988824129e+04,-1.450000000000000000e+01
6.738000000023748726e+04,-1.450000000000000000e+01
6.767999999995809048e+04,-1.550000000000000000e+01
6.798000000030733645e+04,-1.550000000000000000e+01
6.828000000002793968e+04,-1.550000000000000000e+01
6.858000000037717109e+04,-1.550000000000000000e+01
6.888000000009778887e+04,-1.550000000000000000e+01
6.918000000044703484e+04,-1.550000000000000000e+01
6.948000000016765262e+04,-1.550000000000000000e+01
6.977999999988824129e+04,-1.550000000000000000e+01
7.008000000023748726e+04,-1.550000000000000000e+01
7.037999999995809048e+04,-1.550000000000000000e+01
7.068000000030733645e+04,-1.600000000000000000e+01
7.098000000002793968e+04,-1.600000000000000000e+01
7.128000000037717109e+04,-1.600000000000000000e+01
7.158000000009778887e+04,-1.600000000000000000e+01
7.188000000044703484e+04,-1.600000000000000000e+01
7.218000000016765262e+04,-1.600000000000000000e+01
7.247999999988824129e+04,-1.600000000000000000e+01
7.278000000023748726e+04,-1.600000000000000000e+01
7.307999999995809048e+04,-1.600000000000000000e+01
7.338000000030733645e+04,-1.600000000000000000e+01
7.368000000002793968e+04,-1.650000000000000000e+01
7.398000000037717109e+04,-1.650000000000000000e+01
7.428000000009778887e+04,-1.650000000000000000e+01
7.458000000044703484e+04,-1.650000000000000000e+01
7.488000000016765262e+04,-1.650000000000000000e+01
7.517999999988824129e+04,-1.650000000000000000e+01
7.548000000023748726e+04,-1.650000000000000000e+01
7.577999999995809048e+04,-1.650000000000000000e+01
7.608000000030733645e+04,-1.650000000000000000e+01
7.638000000002793968e+04,-1.650000000000000000e+01
7.668000000037717109e+04,-1.650000000000000000e+01
7.698000000009778887e+04,-1.650000000000000000e+01
7.728000000044703484e+04,-1.650000000000000000e+01
7.758000000016765262e+04,-1.650000000000000000e+01
7.787999999988824129e+04,-1.650000000000000000e+01
7.818000000023748726e+04,-1.650000000000000000e+01
7.847999999995809048e+04,-1.650000000000000000e+01
7.878000000030733645e+04,-1.650000000000000000e+01
7.908000000002793968e+04,-1.650000000000000000e+01
7.938000000037717109e+04,-1.650000000000000000e+01
7.968000000009778887e+04,-1.700000000000000000e+01
7.998000000044703484e+04,-1.700000000000000000e+01
8.028000000016765262e+04,-1.700000000000000000e+01
8.057999999988824129e+04,-1.700000000000000000e+01
8.088000000023748726e+04,-1.700000000000000000e+01
8.117999999995809048e+04,-1.700000000000000000e+01
8.148000000030733645e+04,-1.700000000000000000e+01
8.178000000002793968e+04,-1.700000000000000000e+01
8.208000000037717109e+04,-1.700000000000000000e+01
8.238000000009778887e+04,-1.700000000000000000e+01
8.268000000044703484e+04,-1.710000000000000142e+01
8.298000000016765262e+04,-1.710000000000000142e+01
8.327999999988824129e+04,-1.710000000000000142e+01
8.358000000023748726e+04,-1.710000000000000142e+01
8.387999999995809048e+04,-1.710000000000000142e+01
8.418000000030733645e+04,-1.710000000000000142e+01
8.448000000002793968e+04,-1.710000000000000142e+01
8.478000000037717109e+04,-1.710000000000000142e+01
8.508000000009778887e+04,-1.710000000000000142e+01
8.538000000044703484e+04,-1.710000000000000142e+01
8.568000000016765262e+04,-1.750000000000000000e+01
8.597999999988824129e+04,-1.750000000000000000e+01
8.628000000023748726e+04,-1.750000000000000000e+01
8.657999999995809048e+04,-1.750000000000000000e+01
8.688000000030733645e+04,-1.750000000000000000e+01
8.718000000002793968e+04,-1.750000000000000000e+01
8.748000000037717109e+04,-1.750000000000000000e+01
8.778000000009778887e+04,-1.750000000000000000e+01
8.808000000044703484e+04,-1.750000000000000000e+01
8.838000000016765262e+04,-1.750000000000000000e+01
8.867999999988824129e+04,-1.730000000000000071e+01
8.898000000023748726e+04,-1.730000000000000071e+01
8.927999999995809048e+04,-1.730000000000000071e+01
8.958000000030733645e+04,-1.730000000000000071e+01
8.988000000002793968e+04,-1.730000000000000071e+01
